longitude,latitude,observed,predicted,distance_km,kf
10.511,43.493,10,7,3.7341039978254447,0.22970066876950376
10.633,43.312,9,6,19.31048271964408,0.15313670867489707
10.499,43.545,9,7,8.799750451577442,0.18819309644869653
10.607,43.53,9,7,7.651627447263895,0.2314059908804726
10.564,43.57,8,7,10.61137720962982,0.14170361277473412
10.535,43.536,8,7,6.882424271972188,0.14078860291390033
10.501,43.528,8,7,7.0951534802423675,0.2109318393994381
10.617,43.297,8,6,20.499947160838254,0.12446632725791779
10.6,43.539,8,7,8.176803524182473,0.2117557211276438
10.465,43.552,8,7,10.969823742093737,0.2073421373162814
10.45,43.442,8,7,8.881772309252813,0.2148095871205463
10.643,43.486,8,7,7.619860883375474,0.25723538815148606
10.758,43.507,8,5,17.19029682039711,0.08684297218305932
10.515,43.57,8,7,10.92347450520135,0.13589309091902807
10.626,43.325,8,6,17.759472283251522,0.16191082617465175
10.448,43.577,8,7,14.009902928734839,0.19035861488314565
10.442,43.537,8,7,11.119357506542407,0.20599762651962547
10.546,43.48,8,7,0.6426695193958665,0.035958496096767475
10.599,43.364,8,7,12.950157577974963,0.15080982376395863
10.589,43.537,8,7,7.573270156799858,0.20192030187334717
10.491,43.531,8,7,7.837888981187085,0.21940016953246794
10.58,43.537,8,7,7.300418830489972,0.18655451119963837
10.566,43.472,8,7,1.3363363507390023,0.1451865434972389
10.59,43.55,8,7,8.935137193498152,0.1899071744550167
10.663,43.35,7,7,16.626109311917997,0.1685189945262636
10.595,43.531,7,7,7.205305973906751,0.21843951194500372
10.6,43.565,7,7,10.78154170373435,0.18497556324737804
10.479,43.557,7,7,10.764354298346083,0.19808565598374786
10.618,43.525,7,7,7.8141533102665575,0.2429101162865287
10.575,43.412,7,7,7.283415567974748,0.1688766358355106
10.448,43.509,7,7,9.070920177829676,0.23727664847024138
10.443,43.482,7,7,8.68866312720069,0.2348583045348026
10.407,43.597,7,6,17.80717898181092,0.1553882370232342
10.593,43.567,7,7,10.792531313218744,0.18067353496478117
10.309,43.551,7,6,21.23027103391966,0.0929510520024068
10.488,43.499,7,7,5.678156828762604,0.2722372370612566
10.402,43.718,7,6,29.514257271452234,0.10221958686014483
10.473,43.406,7,7,9.87697006373481,0.18191582723856078
10.613,43.562,7,7,10.921940109629498,0.18863436145862386
10.648,43.552,7,7,11.656767516442475,0.1879509636873543
10.465,43.613,7,7,16.794695105891492,0.17597704004740478
10.859,43.402,7,5,26.28881954242908,0.05045551557881066
10.598,43.269,6,5,23.206320094297055,0.07864212162815529
10.146,43.981,6,4,64.93992429333403,0.04037418173166794
10.477,43.589,6,7,13.967774178066886,0.17649085934635986
10.809,43.728,6,5,35.02225257806097,0.06578772763161075
10.424,43.794,6,5,36.8586179562257,0.05322692367037048
10.75,43.392,6,6,18.627991261982405,0.09778811202102763
10.662,43.533,6,7,11.11196442404143,0.19602688164746757
10.724,43.435,6,6,14.762303149698944,0.1143997708211196
10.721,43.547,6,6,15.968877076469656,0.1263948758097824
10.874,43.299,6,5,32.72294558767749,0.06406010123326333
10.633,43.62,6,6,17.444173445354494,0.1414397535202742
10.423,43.787,6,5,36.13488664214175,0.05648801373604561
10.849,43.679,6,5,33.109081721302196,0.0663209057081893
10.667,43.569,6,6,14.085518025254586,0.15858070470979205
10.78,43.712,6,5,32.21114191692934,0.07160864693135599
10.677,43.524,6,7,11.620801685605002,0.18239422745886355
10.537,43.545,6,7,7.84501812508593,0.13487768225145796
10.547,43.572,6,7,10.775737085326208,0.11961325715289026
10.516,43.727,6,5,28.122210288597948,0.05280428771969154
10.676,43.585,6,6,15.903465784387498,0.1411511323333889
